Group,side,Model,n_train_side,n_test_side,model_m_per_ms,model_pts_per_ms,official_pts_per_ms,gap_pts_per_ms,gap_pct,RMSE,R2,windpts_bias_mean,windpts_mae,windpts_iqr,abs_gap_pct
Oslo,tail,RandomForest,113,22,3.940239733595412,7.092431520471742,14.85,-7.757568479528258,-52.23951838066167,5.843274151313718,0.027403824981272695,0.7222160787076707,0.7222160787076707,0.9707149811398528,52.23951838066167
Ruka,head,Linear,373,88,3.0442455861263036,5.479642055027346,11.7,-6.220357944972653,-53.165452521133794,7.477031765679781,0.024913763257854105,-3.315745476557004,3.315745476557004,2.890665549549852,53.165452521133794
Titisee-Neustadt,tail,RandomForest,231,59,4.081183554110979,7.346130397399762,16.2,-8.853869602600238,-54.65351606543357,4.409090192785711,0.0781346924566253,2.471494235183877,2.471494235183877,2.485009145014093,54.65351606543357
Sapporo,tail,RandomForest,146,25,4.044164015643723,7.2794952281587015,16.2,-8.920504771841298,-55.0648442706253,6.319563704513896,0.08739887446049976,2.7651800754533293,2.7651800754533293,2.616151431552389,55.0648442706253
Vikersund,tail,RandomForest,162,40,7.600491703787213,9.120590044544656,21.6,-12.479409955455345,-57.775046090071044,17.49336895085615,0.017449025932435802,5.535458020222173,5.535458020222173,4.33499200929801,57.775046090071044
Wisla,tail,RandomForest,317,71,3.708172557751226,6.674710603952207,16.2,-9.525289396047793,-58.79808269165304,4.296228003620095,0.23989040170190878,3.1154616255865,3.1154616255865,2.1307190537155325,58.79808269165304
Oberstdorf,head,Linear,114,38,4.912693420733273,5.895232104879928,14.4,-8.504767895120072,-59.06088816055605,12.61231360886564,0.6947185436764955,-3.2985612224479226,3.2985612224479226,3.832407472541833,59.06088816055605
Oberstdorf,tail,RandomForest,290,64,6.183213376244865,7.419856051493838,21.6,-14.180143948506164,-65.64881457641742,11.092982197859492,0.8106194506560731,6.170617840569192,6.170617840569192,7.7962258665193245,65.64881457641742
Lake Placid,head,Linear,279,79,7.8545378204044916,14.138168076728086,8.46,5.678168076728085,67.11782596605299,4.806686330511024,0.21009761294035345,3.5195707685743587,3.5195707685743587,3.4535916864204905,67.11782596605299
Willingen,tail,RandomForest,165,52,3.0747079254428655,5.534474265797158,17.55,-12.015525734202843,-68.46453409802189,5.729460800887282,0.1609704444498571,5.562020154998188,5.562020154998188,5.205865551023163,68.46453409802189
Ruka,head,RandomForest,373,88,1.9163536761132605,3.449436617003869,11.7,-8.25056338299613,-70.51763575210369,7.371767148018939,0.05217580122775467,-4.3986755136118,4.3986755136118,3.8296355646357103,70.51763575210369
Lillehammer,head,RandomForest,237,59,1.5515130744950767,2.792723534091138,9.9,-7.107276465908862,-71.79067137281679,5.721461893772505,0.31361863960448577,-3.9796405169254836,3.9796405169254836,4.909057143806659,71.79067137281679
Nizhny Tagil,head,RandomForest,184,45,1.5208012125787818,2.737442182641807,9.9,-7.162557817358193,-72.34906886220398,5.756043555213212,0.12400606144064596,-7.144593838531191,7.144593838531191,5.083790472150735,72.34906886220398
Lillehammer,head,Linear,237,59,1.4514594700663608,2.6126270461194494,9.9,-7.287372953880551,-73.60982781697527,5.574818864753394,0.3483521247238853,-4.080745532112603,4.080745532112603,5.034224202946982,73.60982781697527
Nizhny Tagil,head,Linear,184,45,9.581315213467889,17.246367384242202,9.9,7.3463673842422015,74.20573115396164,5.596482355888101,0.17189913972414372,7.341761923866712,7.341761923866712,5.072457168969542,74.20573115396164
Engelberg,head,Linear,64,20,1.1937562772509773,2.1487612990517593,10.44,-8.29123870094824,-79.41799521981072,5.251453682588798,0.296978757749654,-1.7023551723953376,1.7023551723953376,1.1045453213803829,79.41799521981072
Planica,tail,RandomForest,251,60,3.068364543713429,3.6820374524561146,21.6,-17.917962547543887,-82.95353031270318,9.477674250055395,0.013466102529183233,6.591417638250917,6.591417638250917,7.098210487173256,82.95353031270318
Lillehammer,tail,RandomForest,207,53,1.1525200197072394,2.074536035473031,14.85,-12.775463964526969,-86.03006036718497,5.434537850868211,0.8412189839969786,11.095929624671244,11.095929624671244,16.648320676368172,86.03006036718497
Willingen,head,RandomForest,457,104,0.843056615565132,1.5175019080172376,11.7,-10.182498091982762,-87.02989822207489,7.414317230521386,0.15231243043485865,-13.167792964561933,13.167792964561933,14.487559781075435,87.02989822207489
Rasnov,head,RandomForest,102,21,0.49619623261158097,0.9923924652231619,8,-7.007607534776838,-87.59509418471048,2.902021569693178,-0.10666941990921508,-2.8612034594469176,2.8612034594469176,2.983195164606271,87.59509418471048
Engelberg,tail,RandomForest,602,146,0.7962948132708902,1.4333306638876024,15.66,-14.226669336112398,-90.84718605435758,5.842192249708851,0.11109564790245963,11.196184952901415,11.196184952901415,10.857418515257836,90.84718605435758
Lahti,tail,Linear,38,13,15.830083267692865,28.494149881847157,14.85,13.644149881847158,91.87979718415595,4.1186080922104695,0.07435078711319199,-4.910109540295696,4.910109540295696,5.957893957464976,91.87979718415595
Oslo,head,RandomForest,355,94,0.2139996997843241,0.38519945961178337,9.9,-9.514800540388217,-96.10909636755774,4.982478432443288,0.14784330510435983,-5.4671769910568955,5.4671769910568955,6.053472345848459,96.10909636755774
Tauplitz-Bad Mitterndorf,head,RandomForest,136,36,0.3430855235644259,0.4117026282773111,14.4,-13.98829737172269,-97.14095397029645,13.03984472064204,0.1136423949994958,-8.073352843280965,8.073352843280965,9.37312998248351,97.14095397029645
Ruka,tail,Linear,129,38,19.631391069626467,35.33650392532764,17.55,17.78650392532764,101.3476007141176,6.971432461933316,0.525383407240652,-8.994873795220006,8.994873795220006,12.448537315943305,101.3476007141176
Zakopane,tail,RandomForest,386,91,-0.18912701979232338,-0.3404286356261821,13.07,-13.410428635626182,-102.60465673776727,5.115752140266172,-0.01508846929293961,11.983084069942425,11.983084069942425,8.730427176881875,102.60465673776727
Lahti,head,RandomForest,366,89,-0.4424862952576447,-0.7964753314637605,9.9,-10.69647533146376,-108.04520536832082,4.729999320842493,0.15082865934844292,-7.930646607977922,7.930646607977922,9.184968785058835,108.04520536832082
Wisla,head,RandomForest,137,41,-1.4492255291018097,-2.6086059523832574,10.8,-13.408605952383258,-124.1537588183635,5.422563845271974,0.11562759763072128,-5.86273913966419,5.86273913966419,5.847786619048633,124.1537588183635
Tauplitz-Bad Mitterndorf,head,Linear,136,36,27.065655571867268,32.47878668624072,14.4,18.07878668624072,125.54712976556054,14.417988835001422,-0.08361125058711827,10.445388200192905,10.445388200192905,12.191984046496884,125.54712976556054
Engelberg,head,RandomForest,64,20,-1.6033774600864348,-2.8860794281555826,10.44,-13.326079428155582,-127.6444389670075,5.4436725244299815,0.24457152372101498,-2.73953236220005,2.73953236220005,1.7968359213713927,127.6444389670075
Vikersund,head,RandomForest,123,32,-8.565539516300902,-10.278647419561082,14.4,-24.67864741956108,-171.37949596917417,12.664706120299924,0.08114073522339915,-8.606553287571927,8.606553287571927,8.445436741199671,171.37949596917417
Vikersund,head,Linear,123,32,-9.747170026527938,-11.696604031833525,14.4,-26.096604031833525,-181.22641688773282,12.649898603725761,0.08328813124078593,-9.101065656101943,9.101065656101943,8.931086880902981,181.22641688773282
Nizhny Tagil,tail,Linear,8,2,NA,NA,11.99,NA,NA,NA,NA,NA,NA,NA,NA
Nizhny Tagil,tail,RandomForest,8,2,NA,NA,11.99,NA,NA,NA,NA,NA,NA,NA,NA
Tauplitz-Bad Mitterndorf,tail,Linear,6,0,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA
Tauplitz-Bad Mitterndorf,tail,RandomForest,6,0,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA
